15233 58644
215 133 0.0138889
235 133 0.0138889
236 133 0.0138889
236 237 0.0454545
133 237 0.0454545
163 238 0.111111
163 26 0.037037
163 27 0.00952381
238 26 0.037037
238 27 0.00952381
26 27 0.00952381
37 38 0.0714286
37 39 0.0666667
37 40 0.1
38 39 0.0666667
38 40 0.1
39 40 0.1
239 240 0.025
51 53 0.166667
241 242 0.025
243 244 0.111111
245 246 0.0454545
245 247 0.00833333
246 247 0.00833333
230 231 0.0322581
230 232 0.05
231 232 0.05
248 249 0.0222222
250 251 0.0149254
250 9 0.01
251 9 0.01
146 147 0.111111
146 77 0.0116279
147 77 0.0116279
252 253 0.666667
253 253 0.333333
200 131 0.00411523
200 46 0.0222222
200 201 0.0208333
131 46 0.0222222
131 201 0.0208333
46 201 0.0208333
254 44 0.0196078
61 171 0.037037
103 255 0.0588235
103 256 0.142857
103 257 0.0833333
255 256 0.142857
255 257 0.0833333
256 257 0.0833333
258 259 0.142857
258 260 0.037037
259 260 0.037037
261 262 0.0588235
261 263 0.05
262 263 0.05
264 74 0.0416667
265 266 0.00675676
267 268 0.0333333
160 269 0.0833333
163 26 0.037037
163 27 0.00952381
26 27 0.00952381
270 271 0.0666667
270 272 0.0714286
270 273 0.0625
271 272 0.0714286
271 273 0.0625
272 273 0.0625
31 32 0.0588235
31 33 0.03125
32 33 0.03125
274 275 0.0526316
276 230 0.0212766
276 277 0.0714286
276 278 0.0625
230 277 0.0714286
230 278 0.0625
277 278 0.0625
279 280 0.5
279 278 0.0625
280 278 0.0625
279 230 0.0212766
279 278 0.0625
230 278 0.0625
281 282 0.125
161 162 0.111111
283 122 0.0151515
281 282 0.125
284 285 0.0666667
284 286 0.0454545
285 286 0.0454545
287 288 0.0294118
189 289 0.9
140 141 0.2
140 142 0.030303
140 143 0.015625
141 142 0.030303
141 143 0.015625
142 143 0.015625
277 278 0.0625
277 290 0.0454545
278 290 0.0454545
156 291 0.25
196 197 0.111111
75 76 0.0147059
75 77 0.0116279
76 77 0.0116279
47 92 0.027027
47 119 0.142857
92 119 0.142857
292 293 0.0434783
294 295 0.0909091
294 296 0.0344828
295 296 0.0344828
297 298 0.333333
297 299 0.047619
298 299 0.047619
300 301 0.166667
300 302 0.0769231
301 302 0.0769231
303 304 0.9
303 305 0.0625
303 306 0.0384615
303 307 0.0227273
304 305 0.0625
304 306 0.0384615
304 307 0.0227273
305 306 0.0384615
305 307 0.0227273
306 307 0.0227273
308 309 0.9
310 157 0.0196078
311 312 0.030303
313 314 0.2
313 315 0.0196078
314 315 0.0196078
316 317 0.2
316 111 0.0163934
316 318 0.2
317 111 0.0163934
317 318 0.2
111 318 0.2
319 320 0.0416667
321 322 0.2
321 323 0.0769231
321 324 0.0526316
321 325 0.0344828
322 323 0.0769231
322 324 0.0526316
322 325 0.0344828
323 324 0.0526316
323 325 0.0344828
324 325 0.0344828
326 327 0.142857
326 328 0.0196078
327 328 0.0196078
226 227 0.0192308
226 145 0.0114943
227 145 0.0114943
226 227 0.0192308
226 145 0.0114943
227 145 0.0114943
227 186 0.0277778
225 226 0.0384615
225 227 0.0192308
225 145 0.0114943
225 186 0.0277778
226 227 0.0192308
226 145 0.0114943
226 186 0.0277778
227 145 0.0114943
227 186 0.0277778
145 186 0.0277778
329 330 0.0384615
331 73 0.5
331 74 0.0416667
73 74 0.0416667
88 332 0.0285714
333 261 0.125
333 133 0.0138889
261 133 0.0138889
334 134 0.0125
335 99 0.00917431
336 151 0.0416667
336 152 0.03125
336 154 0.0105263
151 152 0.03125
151 154 0.0105263
152 154 0.0105263
337 338 0.25
337 339 0.142857
338 339 0.142857
149 150 0.0322581
340 189 0.142857
340 341 0.0333333
189 341 0.0333333
342 343 0.166667
151 152 0.03125
151 344 0.0909091
151 154 0.0105263
152 344 0.0909091
152 154 0.0105263
344 154 0.0105263
345 346 0.0416667
127 128 0.0204082
223 347 0.1
348 9 0.01
303 349 0.0588235
303 305 0.0625
303 306 0.0384615
349 305 0.0625
349 306 0.0384615
305 306 0.0384615
350 351 0.111111
350 352 0.142857
351 352 0.142857
353 354 0.012987
355 111 0.0327869
356 357 0.037037
262 358 0.9
359 180 0.111111
192 193 0.125
192 194 0.05
192 195 0.0238095
193 194 0.05
193 195 0.0238095
194 195 0.0238095
200 131 0.00411523
200 50 0.0909091
200 201 0.0208333
131 50 0.0909091
131 201 0.0208333
50 201 0.0208333
360 337 0.25
360 338 0.25
360 339 0.142857
337 338 0.25
337 339 0.142857
338 339 0.142857
361 362 0.9
319 320 0.0416667
363 354 0.012987
364 231 0.0322581
365 278 0.0625
365 290 0.0454545
278 290 0.0454545
366 367 0.047619
86 368 0.9
86 14 0.0555556
86 369 0.333333
368 14 0.0555556
368 369 0.333333
14 369 0.333333
193 370 0.0526316
193 371 0.125
193 195 0.0238095
370 371 0.125
370 195 0.0238095
371 195 0.0238095
372 277 0.0714286
373 41 0.0149254
373 42 0.0333333
41 42 0.0333333
373 41 0.0149254
373 42 0.0333333
41 42 0.0333333
245 246 0.0454545
245 247 0.00833333
246 247 0.00833333
111 374 0.142857
111 375 0.0333333
374 375 0.0333333
111 374 0.142857
111 375 0.0333333
374 375 0.0333333
376 377 0.0333333
376 378 0.2
377 378 0.2
379 380 0.5
379 381 0.0833333
380 381 0.0833333
335 382 0.0140845
335 383 0.030303
382 383 0.030303
384 385 0.333333
43 254 0.166667
43 44 0.0196078
254 44 0.0196078
64 65 0.2
386 387 0.142857
386 388 0.111111
386 389 0.05
387 388 0.111111
387 389 0.05
388 389 0.05
390 15 0.0144928
391 44 0.0196078
372 277 0.0714286
238 27 0.00952381
345 346 0.0416667
43 172 0.5
43 44 0.0196078
172 44 0.0196078
392 393 0.047619
392 394 0.25
392 395 0.111111
393 394 0.25
393 395 0.111111
394 395 0.111111
204 205 0.05
396 397 0.5
396 398 0.125
397 398 0.125
399 290 0.0454545
400 401 0.037037
402 403 0.0769231
402 404 0.1
403 404 0.1
405 404 0.1
406 407 0.5
408 409 0.0357143
410 411 0.0833333
410 412 0.00900901
411 412 0.00900901
413 414 0.125
415 416 0.0294118
165 166 0.0555556
417 415 0.0208333
410 412 0.00900901
410 418 0.5
412 418 0.5
284 286 0.0454545
419 420 0.0588235
421 422 0.05
421 423 0.027027
422 423 0.027027
107 108 0.0714286
424 425 0.5
426 427 0.111111
428 429 0.5
329 129 0.0434783
329 330 0.0384615
129 330 0.0384615
192 430 0.9
192 349 0.0588235
192 312 0.030303
192 431 0.125
192 203 0.166667
430 349 0.0588235
430 312 0.030303
430 431 0.125
430 203 0.166667
349 312 0.030303
349 431 0.125
349 203 0.166667
312 431 0.125
312 203 0.166667
431 203 0.166667
432 433 0.9
432 434 0.142857
432 435 0.0555556
434 435 0.0555556
436 144 0.2
437 438 0.0909091
439 440 0.0188679
200 131 0.00411523
200 50 0.0909091
200 46 0.0222222
131 50 0.0909091
131 46 0.0222222
50 46 0.0222222
441 354 0.012987
432 434 0.142857
219 220 0.0833333
442 443 0.9
442 444 0.0384615
443 444 0.0384615
245 246 0.0454545
245 247 0.00833333
246 247 0.00833333
445 242 0.025
185 186 0.0277778
276 27 0.00952381
446 447 0.0666667
432 434 0.142857
432 435 0.0555556
434 435 0.0555556
448 42 0.0333333
198 199 0.0833333
393 395 0.111111
449 393 0.047619
449 395 0.111111
393 395 0.111111
163 450 0.9
163 164 0.2
450 164 0.2
451 85 0.0277778
452 453 0.9
37 38 0.0714286
37 39 0.0666667
37 40 0.1
38 39 0.0666667
38 40 0.1
39 40 0.1
454 21 0.0454545
454 455 0.5
21 455 0.5
456 457 0.0153846
458 285 0.0666667
42 187 0.142857
34 35 0.333333
34 36 0.030303
35 36 0.030303
459 92 0.027027
459 119 0.142857
459 120 0.027027
92 119 0.142857
92 120 0.027027
119 120 0.027027
297 298 0.333333
460 461 0.9
460 462 0.5
461 462 0.5
463 464 0.9
310 465 0.0769231
66 345 0.333333
66 346 0.0416667
345 346 0.0416667
75 76 0.0147059
75 77 0.0116279
76 77 0.0116279
244 466 0.5
244 467 0.25
244 468 0.0588235
466 467 0.25
466 468 0.0588235
467 468 0.0588235
469 470 0.166667
471 54 0.0416667
472 473 0.166667
239 240 0.025
19 20 0.030303
19 416 0.0294118
20 416 0.0294118
474 260 0.037037
474 475 0.0588235
474 476 0.25
260 475 0.0588235
260 476 0.25
475 476 0.25
200 131 0.00411523
200 50 0.0909091
200 46 0.0222222
131 50 0.0909091
131 46 0.0222222
50 46 0.0222222
147 77 0.0116279
147 477 0.166667
77 477 0.166667
478 479 0.9
480 481 0.0322581
21 22 0.0555556
207 482 0.0263158
483 484 0.9
485 486 0.0434783
485 487 0.0172414
486 487 0.0172414
149 488 0.05
402 403 0.0769231
402 404 0.1
403 404 0.1
489 435 0.0555556
490 238 0.111111
490 26 0.037037
490 27 0.00952381
238 26 0.037037
238 27 0.00952381
26 27 0.00952381
225 226 0.0384615
225 227 0.0192308
225 145 0.0114943
226 227 0.0192308
226 145 0.0114943
227 145 0.0114943
226 227 0.0192308
226 145 0.0114943
226 491 0.1
227 145 0.0114943
227 491 0.1
145 491 0.1
492 493 0.5
494 495 0.166667
494 496 0.142857
495 496 0.142857
494 495 0.166667
494 496 0.142857
495 496 0.142857
321 322 0.2
321 323 0.0769231
321 324 0.0526316
321 325 0.0344828
322 323 0.0769231
322 324 0.0526316
322 325 0.0344828
323 324 0.0526316
323 325 0.0344828
324 325 0.0344828
497 442 0.037037
334 498 0.0142857
499 111 0.0163934
499 500 0.0714286
111 500 0.0714286
382 383 0.030303
501 317 0.2
501 111 0.0163934
317 111 0.0163934
502 258 0.05
503 504 0.9
15 505 0.333333
506 507 0.222222
206 100 0.00662252
508 509 0.0434783
510 511 0.0344828
417 415 0.0208333
512 513 0.0666667
512 514 0.0185185
513 514 0.0185185
37 337 0.25
515 516 0.125
515 517 0.0769231
516 517 0.0769231
432 434 0.142857
432 435 0.0555556
434 435 0.0555556
516 515 0.0769231
516 517 0.0769231
515 517 0.0769231
517 515 0.0769231
517 516 0.125
515 516 0.125
259 260 0.037037
0 1 0.037037
518 519 0.0181818
520 521 0.25
522 523 0.0909091
522 524 0.0454545
523 524 0.0454545
525 526 0.25
525 527 0.2
525 528 0.111111
526 527 0.2
526 528 0.111111
527 528 0.111111
255 529 0.9
501 111 0.0163934
501 530 0.0909091
111 530 0.0909091
531 532 0.333333
531 533 0.0769231
532 533 0.0769231
331 74 0.0416667
534 178 0.9
534 180 0.111111
178 180 0.111111
520 521 0.25
520 121 0.0769231
521 121 0.0769231
535 536 0.016129
535 537 0.142857
536 537 0.142857
538 539 0.025641
540 541 0.5
110 112 0.0357143
542 153 0.0384615
543 544 0.25
535 536 0.016129
295 26 0.037037
545 95 0.0909091
141 142 0.030303
141 143 0.015625
142 143 0.015625
512 513 0.0666667
512 514 0.0185185
513 514 0.0185185
326 327 0.142857
355 316 0.0344828
355 111 0.0163934
316 111 0.0163934
546 547 0.0185185
546 287 0.00990099
546 10 0.0555556
546 288 0.0294118
547 287 0.00990099
547 10 0.0555556
547 288 0.0294118
287 10 0.0555556
287 288 0.0294118
10 288 0.0294118
548 549 0.25
548 550 0.5
548 551 0.0833333
549 550 0.5
549 551 0.0833333
550 551 0.0833333
200 131 0.00411523
518 552 0.2
518 519 0.0181818
552 519 0.0181818
287 553 0.0135135
287 554 0.0416667
553 554 0.0416667
553 555 0.05
553 556 0.0181818
553 554 0.0416667
555 556 0.0181818
555 554 0.0416667
556 554 0.0416667
557 558 0.0526316
471 559 0.00819672
560 471 0.0909091
560 559 0.00819672
471 559 0.00819672
561 562 0.0113636
155 48 0.0285714
557 558 0.0526316
80 94 0.0769231
321 322 0.2
321 323 0.0769231
321 324 0.0526316
321 325 0.0344828
322 323 0.0769231
322 324 0.0526316
322 325 0.0344828
323 324 0.0526316
323 325 0.0344828
324 325 0.0344828
563 258 0.1
564 565 0.9
566 285 0.0666667
567 568 0.25
569 570 0.9
569 571 0.0909091
569 572 0.025641
569 573 0.0769231
570 571 0.0909091
570 572 0.025641
570 573 0.0769231
571 572 0.025641
571 573 0.0769231
572 573 0.0769231
239 574 0.166667
71 72 0.0909091
570 572 0.025641
552 519 0.0181818
575 535 0.0227273
575 498 0.0142857
535 498 0.0142857
238 576 0.9
436 144 0.2
408 409 0.0357143
408 57 0.0625
409 57 0.0625
408 409 0.0357143
408 57 0.0625
409 57 0.0625
577 242 0.025
101 578 0.047619
579 580 0.166667
579 581 0.5
579 582 0.047619
580 581 0.5
580 582 0.047619
581 582 0.047619
583 584 0.111111
82 585 0.0588235
125 23 0.030303
125 586 0.0192308
23 586 0.0192308
587 588 0.111111
589 590 0.0666667
589 591 0.142857
590 591 0.142857
474 401 0.037037
204 511 0.0344828
592 593 0.0714286
592 594 0.5
592 9 0.01
593 594 0.5
593 9 0.01
594 9 0.01
75 76 0.0147059
75 77 0.0116279
76 77 0.0116279
595 596 0.0769231
595 597 0.0212766
596 597 0.0212766
598 3 0.0526316
598 12 0.0138889
3 12 0.0138889
502 599 0.0204082
206 204 0.5
206 205 0.05
206 100 0.00662252
204 205 0.05
204 100 0.00662252
205 100 0.00662252
600 601 0.125
602 603 0.1
601 604 0.0232558
284 286 0.0454545
605 606 0.0138889
607 608 0.00909091
103 609 0.0769231
87 610 0.0285714
87 611 0.25
610 611 0.25
265 246 0.0454545
265 612 0.0144928
265 613 0.0217391
246 612 0.0144928
246 613 0.0217391
612 613 0.0217391
512 614 0.142857
512 615 0.0769231
614 615 0.0769231
406 407 0.5
426 427 0.111111
616 617 0.0714286
618 619 0.5
618 620 0.166667
618 599 0.0204082
619 620 0.166667
619 599 0.0204082
620 599 0.0204082
621 622 0.04
621 623 0.1
622 623 0.1
428 275 0.0526316
624 625 0.030303
624 626 0.0149254
624 627 0.0384615
624 266 0.00675676
625 626 0.0149254
625 627 0.0384615
625 266 0.00675676
626 627 0.0384615
626 266 0.00675676
627 266 0.00675676
326 628 0.0769231
629 630 0.166667
621 623 0.1
173 174 0.0232558
631 632 0.0263158
631 633 0.5
632 633 0.5
566 634 0.0119048
635 57 0.0625
636 247 0.00833333
637 108 0.0714286
638 639 0.0176991
200 131 0.00411523
200 46 0.0222222
200 201 0.0208333
131 46 0.0222222
131 201 0.0208333
46 201 0.0208333
571 640 0.2
571 572 0.025641
571 573 0.0769231
640 572 0.025641
640 573 0.0769231
572 573 0.0769231
19 20 0.030303
19 641 0.2
20 641 0.2
642 480 0.0909091
326 643 0.5
296 644 0.9
331 73 0.5
331 645 0.0909091
73 645 0.0909091
224 68 0.0625
646 647 0.166667
646 648 0.0625
647 648 0.0625
649 650 0.0714286
649 651 0.0263158
649 652 0.0714286
650 651 0.0263158
650 652 0.0714286
651 652 0.0714286
66 653 0.03125
654 655 0.1
193 194 0.05
193 195 0.0238095
194 195 0.0238095
656 213 0.125
656 214 0.0142857
213 214 0.0142857
657 162 0.111111
658 163 0.5
606 596 0.0769231
606 659 0.0454545
596 659 0.0454545
245 246 0.0454545
245 221 0.0116279
246 221 0.0116279
660 661 0.0277778
662 663 0.9
442 444 0.0384615
333 261 0.125
128 240 0.025
75 76 0.0147059
75 77 0.0116279
76 77 0.0116279
664 22 0.0555556
664 21 0.0454545
22 21 0.0454545
43 665 0.9
43 44 0.0196078
665 44 0.0196078
627 382 0.0140845
627 383 0.030303
382 383 0.030303
666 230 0.0212766
192 667 0.025
248 249 0.0222222
668 669 0.9
668 670 0.25
668 671 0.333333
669 670 0.25
669 671 0.333333
670 671 0.333333
672 673 0.9
672 674 0.5
672 675 0.333333
672 676 0.25
672 677 0.2
672 678 0.166667
672 679 0.142857
673 674 0.5
673 675 0.333333
673 676 0.25
673 677 0.2
673 678 0.166667
673 679 0.142857
674 675 0.333333
674 676 0.25
674 677 0.2
674 678 0.166667
674 679 0.142857
675 676 0.25
675 677 0.2
675 678 0.166667
675 679 0.142857
676 677 0.2
676 678 0.166667
676 679 0.142857
677 678 0.166667
677 679 0.142857
678 679 0.142857
680 681 0.333333
682 683 0.142857
682 684 0.0588235
682 685 0.333333
683 684 0.0588235
683 685 0.333333
684 685 0.333333
686 687 0.2
686 688 0.0434783
687 688 0.0434783
454 22 0.0555556
454 21 0.0454545
22 21 0.0454545
223 224 0.2
326 327 0.142857
326 328 0.0196078
327 328 0.0196078
173 174 0.0232558
689 690 0.0588235
689 475 0.0588235
690 475 0.0588235
691 692 0.5
691 693 0.333333
692 693 0.333333
694 695 0.0588235
696 697 0.5
250 251 0.0149254
642 698 0.25
73 361 0.047619
413 699 0.5
442 444 0.0384615
700 701 0.125
700 604 0.0232558
701 604 0.0232558
702 703 0.9
267 704 0.25
267 705 0.0078125
704 705 0.0078125
89 706 0.0357143
89 707 0.030303
706 707 0.030303
525 528 0.111111
525 708 0.25
525 91 0.142857
528 708 0.25
528 91 0.142857
708 91 0.142857
700 701 0.125
700 604 0.0232558
701 604 0.0232558
709 710 0.333333
711 92 0.027027
711 120 0.027027
92 120 0.027027
695 712 0.0714286
713 714 0.2
540 584 0.111111
702 715 0.9
563 527 0.2
716 717 0.0666667
716 718 0.0625
717 718 0.0625
719 420 0.0588235
68 3 0.0526316
68 12 0.0138889
3 12 0.0138889
392 393 0.047619
392 394 0.25
392 395 0.111111
393 394 0.25
393 395 0.111111
394 395 0.111111
638 639 0.00442478
720 721 0.0333333
169 170 0.030303
722 723 0.166667
722 724 0.0322581
723 724 0.0322581
116 218 0.0588235
587 588 0.111111
37 38 0.0714286
37 39 0.0666667
38 39 0.0666667
86 725 0.0526316
726 727 0.9
18 19 0.0357143
18 20 0.030303
18 641 0.2
19 20 0.030303
19 641 0.2
20 641 0.2
592 8 0.0128205
592 9 0.01
8 9 0.01
728 274 0.0113636
729 730 0.9
19 20 0.030303
19 731 0.5
20 731 0.5
618 619 0.5
618 620 0.166667
619 620 0.166667
335 382 0.0140845
335 383 0.030303
382 383 0.030303
732 274 0.0113636
733 734 0.5
735 736 0.0181818
735 737 0.0322581
736 737 0.0322581
236 133 0.0138889
236 738 0.2
133 738 0.2
75 76 0.0147059
75 77 0.0116279
76 77 0.0116279
95 363 0.0128205
160 739 0.166667
160 740 0.0416667
739 740 0.0416667
741 742 0.0243902
741 743 0.0666667
742 743 0.0666667
178 179 0.5
178 180 0.111111
179 180 0.111111
744 745 0.1
746 747 0.333333
746 748 0.166667
747 748 0.166667
47 319 0.142857
47 320 0.0416667
319 320 0.0416667
258 749 0.0434783
750 258 0.05
124 562 0.0113636
124 751 0.047619
562 751 0.047619
336 151 0.0416667
336 152 0.03125
336 154 0.0105263
151 152 0.03125
151 154 0.0105263
152 154 0.0105263
485 486 0.0434783
485 487 0.0172414
485 752 0.0192308
485 221 0.0116279
485 266 0.00675676
486 487 0.0172414
486 752 0.0192308
486 221 0.0116279
486 266 0.00675676
487 752 0.0192308
487 221 0.0116279
487 266 0.00675676
752 221 0.0116279
752 266 0.00675676
221 266 0.00675676
196 197 0.111111
753 754 0.0357143
267 133 0.0138889
755 756 0.25
757 606 0.0138889
757 347 0.1
757 302 0.0769231
606 347 0.1
606 302 0.0769231
347 302 0.0769231
758 759 0.111111
133 134 0.0125
313 314 0.2
313 315 0.0196078
314 315 0.0196078
269 760 0.0625
269 761 0.333333
760 761 0.333333
242 762 0.0769231
306 303 0.0769231
165 166 0.0555556
687 688 0.0434783
687 686 0.0666667
688 686 0.0666667
763 764 0.9
356 357 0.037037
492 765 0.0263158
492 412 0.00900901
765 412 0.00900901
82 585 0.0588235
766 767 0.25
766 768 0.0625
767 768 0.0625
769 770 0.0588235
560 471 0.0909091
437 438 0.0909091
437 771 0.0769231
438 771 0.0769231
437 438 0.0909091
437 771 0.0769231
438 771 0.0769231
141 142 0.030303
141 143 0.015625
142 143 0.015625
419 772 0.0625
419 420 0.0588235
772 420 0.0588235
361 773 0.0526316
125 8 0.0128205
774 636 0.0909091
774 247 0.00833333
636 247 0.00833333
66 653 0.03125
66 346 0.0416667
653 346 0.0416667
775 776 0.5
775 777 0.0169492
775 778 0.142857
775 632 0.0263158
776 777 0.0169492
776 778 0.142857
776 632 0.0263158
777 778 0.142857
777 632 0.0263158
778 632 0.0263158
779 780 0.5
779 781 0.5
780 781 0.5
575 149 0.166667
575 488 0.05
149 488 0.05
782 783 0.142857
782 784 0.0108696
783 784 0.0108696
387 389 0.05
785 786 0.0666667
785 787 0.25
786 787 0.25
238 27 0.00952381
492 493 0.5
788 789 0.9
788 790 0.5
789 790 0.5
408 409 0.0357143
218 791 0.0222222
218 792 0.125
791 792 0.125
517 516 0.125
517 515 0.0769231
516 515 0.0769231
793 794 0.0666667
638 639 0.00442478
721 795 0.166667
376 377 0.0333333
796 549 0.25
796 551 0.0833333
796 548 0.0454545
549 551 0.0833333
549 548 0.0454545
551 548 0.0454545
575 334 0.2
575 417 0.05
575 498 0.0142857
334 417 0.05
334 498 0.0142857
417 498 0.0142857
797 798 0.2
469 470 0.166667
799 800 0.025
355 801 0.9
355 316 0.0344828
355 111 0.0163934
801 316 0.0344828
801 111 0.0163934
316 111 0.0163934
261 263 0.05
802 151 0.0416667
802 152 0.03125
802 154 0.0105263
151 152 0.03125
151 154 0.0105263
152 154 0.0105263
803 200 0.00943396
41 42 0.0333333
18 80 0.0153846
415 416 0.0294118
155 10 0.0555556
155 3 0.0526316
155 12 0.0138889
10 3 0.0526316
10 12 0.0138889
3 12 0.0138889
218 791 0.0222222
218 792 0.125
791 792 0.125
804 296 0.0344828
117 118 0.0263158
805 806 0.333333
805 807 0.0666667
805 808 0.0625
806 807 0.0666667
806 808 0.0625
807 808 0.0625
809 60 0.0208333
810 811 0.9
810 510 0.5
811 510 0.5
744 745 0.1
381 812 0.1
813 616 0.125
813 617 0.0714286
616 617 0.0714286
281 282 0.125
814 815 0.166667
816 817 0.9
51 818 0.0666667
51 819 0.0769231
818 819 0.0769231
621 622 0.04
820 821 0.9
820 822 0.25
821 822 0.25
823 824 0.9
823 113 0.333333
824 113 0.333333
726 825 0.9
265 266 0.00675676
419 772 0.0625
419 420 0.0588235
772 420 0.0588235
103 826 0.9
103 827 0.0526316
103 828 0.0909091
103 256 0.142857
826 827 0.0526316
826 828 0.0909091
826 256 0.142857
827 828 0.0909091
827 256 0.142857
828 256 0.142857
829 830 0.5
110 831 0.333333
832 833 0.0416667
832 834 0.0188679
833 834 0.0188679
75 76 0.0147059
75 77 0.0116279
76 77 0.0116279
835 836 0.333333
270 271 0.0666667
270 272 0.0714286
271 272 0.0714286
796 566 0.05
837 838 0.9
837 138 0.166667
838 138 0.166667
754 839 0.0588235
754 840 0.2
839 840 0.2
300 301 0.166667
300 841 0.166667
300 302 0.0769231
301 841 0.166667
301 302 0.0769231
841 302 0.0769231
274 275 0.0526316
842 843 0.5
842 844 0.0909091
842 845 0.047619
843 844 0.0909091
843 845 0.047619
